,index,country_code,geometry,area,samples,boundaries,coords
475,475,BRA,"POLYGON ((-57.734558274961 -17.55246835700777, -58.28080400250225 -17.27171030036602, -58.38805843772404 -16.87710906338528, -58.24121985536668 -16.29957325609129, -60.15838965517904 -16.25828378669009, -60.54296566429515 -15.0939104142896, -60.25114885114294 -15.07721892665932, -60.26432634137737 -14.64597909918364, -60.45919816755003 -14.35400725673455, -60.50330400251114 -13.77595468511766, -61.08412126325565 -13.4793836401946, -61.71320431176078 -13.48920216233005, -62.12708085798639 -13.19878061284972, -62.80306026879639 -13.00065317144269, -63.19649878605057 -12.62703256597243, -49.65010386761564 -14.12382705814423, -57.734558274961 -17.55246835700777))",28.05572058843533,"[[-58.777344647904094, -13.410999647658251], [-61.797860137075965, -13.165620066195187], [-61.298558472553395, -12.959738280609226], [-59.50009481882222, -14.258623184785396], [-56.710539962379556, -13.508540678871094]]","[-63.19649878605057, -17.55246835700777, -49.65010386761564, -12.62703256597243]",[]
476,476,BRA,"POLYGON ((-68.04819230820539 -10.71205901453249, -68.27125362819326 -11.01452117273682, -68.78615759954948 -11.03638030359628, -69.52967810736496 -10.95173430750219, -70.09375220404689 -11.12397185633101, -62.12834836391569 -5.770395797661434, -69.89363521999663 -4.298186944194327, -69.44410193548961 -1.556287123219818, -62.6179453292409 -4.464205320758704, -59.97075511230037 2.775401493508582, -59.97452490908456 2.755232652188056, -59.71854570172675 2.24963043864436, -59.64604366722126 1.786893825686789, -59.03086157900265 1.317697658692722, -59.73670936266224 -5.285376166098707, -68.04819230820539 -10.71205901453249))",39.82150508216202,"[[-60.2526038454301, -3.628435480732777], [-59.80723494104916, 2.3799324837196987], [-60.065602782652746, 2.2067943290463314]]","[-70.0937522040469, -11.12397185633101, -59.03086157900265, 2.775401493508582]",[]
477,477,BRA,"POLYGON ((-57.93715572776129 -22.09017587655717, -57.8706739976178 -20.73268767668195, -58.16639238140804 -20.17670094165368, -57.85380164247451 -19.96999521248619, -57.94999732118583 -19.40000416430682, -57.67600887717431 -18.96183969490403, -57.49837114117099 -18.17418751391129, -52.07865046301507 -19.27908272209378, -57.93715572776129 -22.09017587655717))",11.378376524985919,[],"[-58.16639238140804, -22.09017587655717, -52.07865046301507, -18.17418751391129]",[]
478,478,BRA,"POLYGON ((-37.68361161960736 -12.17119475672582, -38.42387651218844 -13.03811858485429, -38.67388709161652 -13.05765227626062, -38.95327572280254 -13.79336964280002, -38.88229814304965 -15.66705372483877, -39.16109249526431 -17.20840667080847, -39.2673392400564 -17.86774627042048, -39.58352149103423 -18.26229583096894, -39.76082333022764 -19.59911345792741, -46.1423128103041 -14.51141669847932, -44.16247119216769 -12.08386988685252, -37.68361161960736 -12.17119475672582))",34.750900404336164,"[[-39.30253074755747, -12.338124687692767], [-44.06499340794721, -15.044922584846848], [-41.78313576841713, -12.876590103835424], [-41.67811542040944, -12.683172664934842], [-40.05412042430124, -12.362092792947184], [-39.35181472475717, -12.22681933486253]]","[-46.1423128103041, -19.59911345792741, -37.68361161960736, -12.08386988685252]",[]
479,479,BRA,"POLYGON ((-39.76082333022764 -19.59911345792741, -40.77474077001034 -20.90451181405242, -45.02115724028789 -19.48903567805944, -47.64897233742066 -24.88519906992772, -48.62744081604754 -14.23682512384004, -46.1423128103041 -14.51141669847932, -39.76082333022764 -19.59911345792741))",39.181529333904464,"[[-47.7728677373815, -19.160597992907473], [-47.91849492461207, -15.77972667127843], [-46.72927700238767, -22.34895381522659]]","[-48.62744081604754, -24.88519906992772, -39.76082333022764, -14.23682512384004]",[]
480,480,BRA,"POLYGON ((-40.77474077001034 -20.90451181405242, -40.94475623225061 -21.93731698983781, -41.75416419123822 -22.37067555103746, -41.98828426773656 -22.9700704891909, -43.07470374202475 -22.96769337330547, -44.64781185563781 -23.35195932382784, -45.35213578955992 -23.79684172942858, -46.47209326840554 -24.08896860117454, -47.64897233742066 -24.88519906992772, -45.02115724028789 -19.48903567805944, -40.77474077001034 -20.90451181405242))",16.437680377840472,"[[-40.87399603276262, -21.173851381730895], [-45.8340771463184, -22.56551226108411], [-46.20451107665773, -22.500047418315695], [-45.927705083293084, -22.58906893430245], [-44.16450592715186, -19.9364534727151]]","[-47.64897233742066, -24.88519906992772, -40.77474077001034, -19.48903567805944]",[]
481,481,BRA,"POLYGON ((-44.41761918799367 -2.137750339367976, -44.58158850765578 -2.691308282078524, -43.41879126644019 -2.383110039889793, -41.47265682632825 -2.912018324397116, -39.97866533055404 -2.873054294449041, -38.50038347019657 -3.700652357603396, -37.2232521225352 -4.820945733258917, -36.45293738457639 -5.109403578312154, -35.59779578301047 -5.149504489770649, -35.23538896334756 -5.464937432480247, -47.92036039305803 -7.479597369350485, -44.41761918799367 -2.137750339367976))",32.793669947494124,"[[-38.82476856052486, -3.861343692197873], [-38.58134626969806, -3.98233420118742], [-38.11581454492109, -4.402426006196026], [-37.67509562175006, -4.6318997207768025], [-38.78337632820857, -4.186661981421708], [-39.952460831726064, -3.07204937722404], [-39.44007545806617, -3.390666975995833], [-45.43234060556889, -6.692666116827248], [-40.64138223414902, -3.0936034042654295], [-41.08173493424821, -3.8207230971038295], [-45.33078397218887, -4.080845718562058]]","[-47.92036039305803, -7.479597369350485, -35.23538896334756, -2.137750339367976]",[]
482,482,BRA,"POLYGON ((-53.65390727004556 -6.895086795016927, -55.09758744975514 2.523748073736613, -54.52475419779972 2.311848863123785, -54.08806250671725 2.105556545414629, -53.77852067728892 2.376702785650082, -53.55483924011354 2.334896551925951, -53.41846513529531 2.053389187015981, -52.93965715189496 2.124857692875636, -50.90959702041349 -1.916666022346162, -44.41761918799367 -2.137750339367976, -49.00124665344401 -5.468081785264084, -53.65390727004556 -6.895086795016927))",41.267804817086834,"[[-45.96517460328363, -2.426723685499627], [-52.310852420959, -1.306026833867291], [-52.620483084237776, -1.466027578293094], [-49.71475329817365, -5.311500480363023], [-45.77088107903548, -2.4855506678993637], [-49.435976037486626, -3.6052079073992704]]","[-55.09758744975514, -6.895086795016927, -44.41761918799367, 2.523748073736613]",[]
483,483,BRA,"POLYGON ((-52.93965715189496 2.124857692875636, -52.55642473001842 2.504705308437053, -52.24933753112396 3.241094468596245, -51.65779741067889 4.156232408053029, -51.31714636901086 4.203490505383954, -51.06977128762966 3.650397650564031, -50.50887529153366 1.901563828942457, -49.97407589374506 1.736483465986069, -49.94710079608871 1.046189683431223, -50.69925126809692 0.2229841170216815, -50.38821082213214 -0.07844451253681939, -48.62056677915632 -0.2354891902718208, -48.58449662941659 -1.237805271005001, -47.82495642759064 -0.5816179337628, -46.56658362485123 -0.941027520352776, -44.90570309099041 -1.551739597178134, -44.41761918799367 -2.137750339367976, -50.90959702041349 -1.916666022346162, -52.93965715189496 2.124857692875636))",16.490857262868715,"[[-46.52438038811148, -1.3365792160165415], [-46.2428797551894, -1.4416188538482775], [-45.81955386938456, -1.7286496451825601], [-45.1989894061318, -1.7776202149875406]]","[-52.93965715189496, -2.137750339367976, -44.41761918799367, 4.203490505383954]",[]
484,484,BRA,"POLYGON ((-65.33843522811642 -9.761987806846392, -66.64690833196281 -9.931331475466862, -67.17380123561074 -10.30681243249961, -68.04819230820539 -10.71205901453249, -59.73670936266224 -5.285376166098707, -59.03086157900265 1.317697658692722, -58.5400129868783 1.268088283692521, -58.42947709820596 1.463941962078721, -58.11344987652502 1.507195135907025, -57.66097103537737 1.682584947105639, -57.3358229233969 1.948537705895759, -56.78270423036083 1.863710842288654, -56.53938574891455 1.899522609866921, -55.99569800477175 1.817667141116601, -55.90560014507088 2.02199575439866, -57.95890365751224 -5.804257418030472, -65.33843522811642 -9.761987806846392))",26.105166397108256,[],"[-68.04819230820539, -10.71205901453249, -55.90560014507088, 2.02199575439866]",[]
485,485,BRA,"POLYGON ((-54.29295956075452 -24.02101409271073, -54.65283423523513 -23.83957813893396, -52.37273801102976 -19.54961184884565, -51.29497611876145 -19.16241858091646, -48.67579336725027 -13.71061906028182, -47.64897233742066 -24.88519906992772, -52.30815971092274 -22.87313182923773, -54.29295956075452 -24.02101409271073))",33.214475403717124,"[[-50.01094126038541, -23.256748994884326], [-48.93357185223391, -23.75276928803739], [-51.3091276430921, -19.845096521728234], [-52.95251247831183, -22.535930914590043], [-48.55634270595139, -22.77860422584942], [-54.245514459192215, -23.571846187447004], [-48.70978371830651, -20.378485892440207], [-52.293170609728016, -22.438337895767095], [-50.80650490742403, -19.614490160337247], [-50.28214803970652, -22.586763885270923], [-52.21030759576635, -22.597374865461475], [-49.21144585566597, -23.63266059940438]]","[-54.65283423523513, -24.88519906992772, -47.64897233742066, -13.71061906028182]",[]
486,486,BRA,"POLYGON ((-52.37273801102976 -19.54961184884565, -57.93715572776129 -22.09017587655717, -52.07865046301507 -19.27908272209378, -57.49837114117099 -18.17418751391129, -57.734558274961 -17.55246835700777, -48.67579336725027 -13.71061906028182, -51.29497611876145 -19.16241858091646, -52.37273801102976 -19.54961184884565))",22.690739000358587,"[[-52.139281524756164, -18.745091595981037], [-52.71154326992843, -18.890261507227397]]","[-57.93715572776129, -22.09017587655717, -48.67579336725027, -13.71061906028182]",[]
